Software;version;;;;
R;version 4.4.1;;;;
JAGS;version 4.3.1;;;;
R-studio; version 2024.12.1-563;
package;attached;version;date;library;source
coda;*;0.19-4.1;31-01-2024;[1];CRAN (R 4.4.0)
data.table;*;1.17.0;22-02-2025;[1];CRAN (R 4.4.1)
devtools;*;2.4.5;11-10-2022;[1];CRAN (R 4.4.0)
doParallel;*;1.0.17;07-02-2022;[1];CRAN (R 4.4.0)
dplyr;*;1.1.4;17-11-2023;[1];CRAN (R 4.4.0)
forcats;*;1.0.0;29-01-2023;[1];CRAN (R 4.4.0)
foreach;*;1.5.2;02-02-2022;[1];CRAN (R 4.4.0)
ggplot2;*;3.5.1;23-04-2024;[1];CRAN (R 4.4.0)
gridExtra;*;2.3;09-09-2017;[1];CRAN (R 4.4.0)
iterators;*;1.0.14;05-02-2022;[1];CRAN (R 4.4.0)
kableExtra;*;1.4.0;24-01-2024;[1];CRAN (R 4.4.0)
latex2exp;*;0.9.6;28-11-2022;[1];CRAN (R 4.4.0)
lubridate;*;1.9.3;27-09-2023;[1];CRAN (R 4.4.0)
MASS;*;7.3-60.2;26-04-2024;[2];CRAN (R 4.4.1)
patchwork;*;1.3.0;16-09-2024;[1];CRAN (R 4.4.1)
purrr;*;1.0.2;10-08-2023;[1];CRAN (R 4.4.0)
readr;*;2.1.5;10-01-2024;[1];CRAN (R 4.4.0)
restriktor;*;0.6-10;19-12-2024;[1];CRAN (R 4.4.1)
rjags;*;apr-16;19-08-2024;[1];CRAN (R 4.4.1)
stringr;*;1.5.1;14-11-2023;[1];CRAN (R 4.4.0)
tibble;*;3.2.1;20-03-2023;[1];CRAN (R 4.4.0)
tidyr;*;1.3.1;24-01-2024;[1];CRAN (R 4.4.0)
tidyverse;*;2.0.0;22-02-2023;[1];CRAN (R 4.4.0)
usethis;*;3.1.0;26-11-2024;[1];CRAN (R 4.4.1)
